estacao,temperatura_do_ar,st_point
A542,28.4,0101000000A3DE198EE37047C0CA3BC1DDDD8D30C0
A506,28.51,01010000006F87028D04EC45C025F07F2EB7AF30C0
F501,23.83,01010000002184D3C4B3FA45C05D218347E1FA33C0
A509,19.63,0101000000A19651F28B0547C0E9C0AC2F96DC36C0
A541,23.06,010100000060B28E36D03145C0E4C2DC499FB431C0
A510,24.73,0101000000D0285DFA976E45C05FB35C363AC334C0
A520,29.06,01010000004276DEC6661348C03F6F2A5261FC33C0
A543,29.95,0101000000EE50A091806745C0462B73CA0ED32DC0
A505,25.77,01010000000F1E547F907947C0412DA3E4179B33C0
A532,28.14,0101000000467BBC900EFD44C0501A6A1492D432C0
A561,26.21,01010000002D7F5B039D8E47C0295C8FC2F5E834C0
A567,24.43,0101000000E0D91EBDE1F846C0EFAA07CC43AE35C0
A515,24.97,0101000000B26AADBBBBB346C0076B94DCFE9035C0
A531,21.9,010100000021F2AF48C0AF46C083354A6E7F5036C0
A522,27.19,010100000000000000002044C0F2BC4CFB83CC31C0
A556,23.95,0101000000FC4A1043651745C0F94B28D0694334C0
A538,27.36,01010000002B357BA0153A46C005DCF3FC69BF32C0
A569,27.02,0101000000825A46C92F1646C0EDBE7C158D7433C0
A563,30.81,0101000000B743814602A645C02D3618B0059B2FC0
A537,21.21,01010000005C01857AFAD245C0E6AC4F39263B32C0
A516,26.58,0101000000A034D428245147C0E7C41EDAC7BE34C0
A540,27.5,0101000000952BBCCB457E44C0809A5AB6D6C732C0
A564,26.43,01010000007186EAFFFF6F46C005B58C925F2C34C0
A502,22.07,0101000000775FBE8A46E245C0B3FC6D0D743A35C0
A550,30.55,010100000016D22BAF26BE44C0E5549D9B579330C0
A552,29.56,0101000000B469952EB72745C0026DC4F6072930C0
A512,29.27,0101000000A4B91D3333C348C07D81723EE9F332C0
A545,29.74,010100000000FDBE7FF36A46C06346787B104231C0
A565,26.77,0101000000F4725445230147C0E70AA5E5F60734C0
A514,24.72,01010000004AD3A0681E2046C066F50EB7431B35C0
A529,24.24,01010000003D2FD3FE207B46C04B044755556536C0
S122,0,01010000003D2FD3FE207B46C04B044755556536C0
A519,29.47,01010000003BFDA02E52C248C019ADA3AA098A33C0
A544,26.54,0101000000AF6BC548C03747C005B58C925F0C2FC0
A535,26.8,0101000000B88C616F5E3546C09B065E90A1E233C0
A553,26.14,01010000000A4580F4490F47C03C54CF59D1C831C0
A530,23.77,0101000000D93F4F03063147C0CD91955F06EB35C0
A511,25.62,0101000000B9676514AE4F45C05823B361EA9233C0
A527,26.01,0101000000984D8061F9C144C0868F882991E431C0
A539,31.13,0101000000B046C9ED0F0246C07883A258F22B2EC0
A524,25.82,01010000001DCFE30719BA46C014AE47E17A7434C0
A551,26.18,0101000000AB6DF562C93745C0B6FBF25534722FC0
A555,23.55,01010000004009BF166C0146C0DE0E051A090834C0
A528,25.29,010100000001C3F2E7DBBA46C0F33CB83B6B3332C0
A536,27.16,01010000006F87028D04CC46C0E056CDB5607B33C0
A525,26.65,010100000056DBEAC592B747C0D910353412E033C0
A548,27.39,0101000000482A5B3D0ACF46C04BBB0302BE992EC0
A547,31.55,010100000013F83F97DB8F46C0A6DD0101DF5C30C0
A562,26.22,010100000020A9CF1F643847C0370DBC20438532C0
A559,30.44,0101000000EA9BB0D4E52E46C024157C8967E52EC0
A534,27.55,01010000004FDE326DA08B44C0912FBA1F648833C0
A549,26.3,010100000059C4B0C398BA44C087889B53C9802FC0
A508,28.96,01010000006C881A1A095844C097088EAAAA2A30C0
A566,29.66,0101000000813662FB830445C0BF8919C850D930C0
A533,24.5,0101000000D8C7540BB67845C0AC91D93075C932C0
A517,27.09,0101000000D412654E1B3045C07B14AE47E11A35C0
A526,31.86,0101000000B26AADBBBB3346C0FD6EF41011D12CC0
A546,25.48,0101000000A893094B7E9947C025F07F2EB78F31C0
A513,23.58,0101000000CFCBB43FC8E045C03B79CBB4818E34C0
A521,25.69,0101000000D7114DC116FC45C0E8E5A88A46E233C0
A571,27.2,01010000003756FF73DA7047C0317D2BE9933E31C0
A570,24.26,010100000028818B1DA66E46C0D7A3703D0AB734C0
A568,27.29,01010000003D2FD3FE20FB47C0F6285C8FC2B533C0
A518,22.12,010100000000FE2955A2AE45C08C101E6D1CC535C0
A507,27.03,0101000000D8C7540BB62048C07019C3DEBCEA32C0
A557,28.98,01010000004009BF166CA145C07883A258F28B35C0
A554,27.5,01010000000F1E547F901145C022A8B7925FBC33C0
A523,25.4,0101000000AA7D3A1E337E47C04B72C0AE26FF32C0
